ID,name,year,mileage,engine,transmission,age,price
421,nissan juke,2019,16715,Petrol,Automatic,4,14295.0
403,renault clio,2017,47500,Petrol,Manual,6,7995.0
2757,ford ecosport,2018,14102,Petrol,Semiautomatic,5,14400.0
998,land rover range rover evoque,2017,36238,Diesel,Automatic,6,24950.0
1944,ford fiesta,2011,90000,Petrol,Manual,12,3195.0
2830,ford kuga,2018,17778,Diesel,Manual,5,20200.0
2959,ford transit custom,2020,11746,Diesel,Manual,3,23500.0
2076,ford focus,2013,121000,Diesel,Manual,10,3185.0
2893,ford kuga,2017,33050,Diesel,Semiautomatic,6,17300.0
646,audi a5,2017,42224,Petrol,Semiautomatic,6,24995.0
438,nissan qashqai,2017,47706,Diesel,Manual,6,13290.0
1706,land rover range rover evoque,2016,35725,Diesel,Manual,7,22000.0
2485,nissan juke,2017,47960,Petrol,Manual,6,11490.0
2280,toyota aygo,2019,15300,Petrol,Manual,4,9500.0
366,seat leon,2016,14571,Petrol,Manual,7,12495.0
1572,volkswagen polo,2020,8918,Petrol,Semiautomatic,3,23000.0
655,audi a4,2018,3658,Petrol,Manual,5,19950.0
2589,mercedes-benz a-class,2018,14224,Diesel,Semiautomatic,5,21995.0
2630,kia sportage,2020,5400,Hybrid,Automatic,3,23502.0
2178,volkswagen golf,2015,43136,Hybrid,Semiautomatic,8,15990.0
307,skoda octavia,2020,10249,Petrol,Manual,3,16990.0
729,peugeot 3008,2014,32187,Diesel,Automatic,9,8995.0
2203,vauxhall mokka x,2017,8255,Petrol,Semiautomatic,6,13995.0
1541,ford fiesta,2020,1500,Petrol,Manual,3,18000.0
19,toyota auris,2010,67250,Hybrid,Automatic,13,6790.0
2366,skoda fabia,2018,32251,Petrol,Manual,5,11000.0
2000,skoda octavia,2014,56000,Diesel,Manual,9,10995.0
708,ford focus,2016,57000,Petrol,Manual,7,13985.0
2998,ford transit,2020,12355,Diesel,Manual,3,30000.0
1523,hyundai i10,2018,5500,Petrol,Manual,5,7995.0
1268,suzuki swift,2011,64000,Petrol,Automatic,12,4950.0
1034,bmw 1 series,2013,78128,Diesel,Manual,10,9000.0
282,skoda karoq,2021,1410,Petrol,Automatic,2,26995.0
2208,vauxhall insignia,2018,19012,Petrol,Manual,5,13000.0
2983,ford transit,2018,44170,Diesel,Manual,5,17500.0
967,nissan qashqai,2020,11023,Petrol,Manual,3,22695.0
123,volkswagen golf,2015,59025,Diesel,Semiautomatic,8,9499.0
547,hyundai i10,2017,6368,Petrol,Manual,6,6890.0
1547,ford ecosport,2019,2964,Petrol,Automatic,4,19999.0
2232,toyota c hr,2018,22000,Petrol,Manual,5,19450.0
1750,ford focus,2012,52000,Petrol,Manual,11,5295.0
186,volkswagen golf,2020,10167,Petrol,Semiautomatic,3,21990.0
